t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.31,S_pct:-1.18,kp:0.0362,ki:0.0025"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000490557975041124,5.96964764554286e-06,0.000277970083800462,-0.0242270690826427,-0.0139085584468455,0.000559238815764573,-7.18779612031597e-05,-0.0276872397303984,0.00371693832554553,-1.1830944196253,-0.00157232631012757,0,0
0.02,0.000575424286613729,6.32958426649566e-06,0.000324811196238254,-0.0284520392542206,-0.0162523034190399,0.00065551419480248,-8.3165877853246e-05,-0.0324846619281695,0.00428983024848027,-1.18310670642701,-0.00176522735668867,0,0
0.03,0.000607508550421285,6.47806245979154e-06,0.000342809055296099,-0.0300487395297953,-0.0171528478450742,0.000692020298724519,-8.77074305928672e-05,-0.0343032563388414,0.00452034745096941,-1.1831195350369,-0.00177882572755479,0,0
0.04,0.000594551621475722,5.94953462496051e-06,0.000335754476591274,-0.0294274460743984,-0.0167998719233383,0.000677356960635364,-8.6082791714212e-05,-0.0335945770440939,0.00442884548507109,-1.18313163875124,-0.00164802514597268,0,0
0.05,0.000608910157513461,5.85407087783096e-06,0.000344211337725864,-0.030150137447102,-0.0172230247884083,0.000693845901765333,-8.84923134828567e-05,-0.0344235507865765,0.0045478041058579,-1.1831433525708,-0.00161080983570914,0,0
0.06,0.000610293928311166,5.57064504391747e-06,0.000345296248408673,-0.0302335493440623,-0.0172773085535912,0.000695536108850807,-8.89814552772467e-05,-0.0345212422349312,0.00456691705125541,-1.18315459722882,-0.00153388546878468,0,0
0.07,0.00062175675222487,5.46246292287833e-06,0.0003522382955223,-0.0308120986227832,-0.0176246530612328,0.000708771603954469,-9.10828699453544e-05,-0.0351881141230737,0.00467016504317362,-1.18316512857305,-0.00149562123803834,0,0
0.08,0.000610997251167731,5.01867634739028e-06,0.000346324258538316,-0.0302964187132308,-0.0173287407610647,0.000696573979566544,-8.96817928983724e-05,-0.0345987932560567,0.00459148651704764,-1.18317536034394,-0.00138569270611812,0,0
0.09,0.00060906047519268,4.72887677460676e-06,0.000345562534674421,-0.0302141293228249,-0.0172906245514482,0.000694492109629164,-8.97153134942811e-05,-0.0345081574381102,0.00458763319611865,-1.18318494550425,-0.00130976626680577,0,0
