t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.45,S_pct:-1.30,kp:0.1233,ki:0.0002"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000599631217312456,2.61108689301182e-05,0.000337146276983208,-0.0286738914327025,-0.0168756516561396,0.000674656386729607,-0.000134402264505502,-0.0324954112816588,0.00714338255657792,-1.25523368730948,-0.00197642029232922,0,0
0.02,0.000669772073825121,2.44866296270629e-05,0.000376413030471976,-0.0322618217748907,-0.0188411321721654,0.000753518123421641,-0.000149972791066344,-0.0365160507528649,0.00789882543027829,-1.25524828770606,-0.00204545621353693,0,0
0.03,0.000696826826645598,2.3872084057075e-05,0.000392091937214193,-0.0336451102339615,-0.0196259169792826,0.000784100591168538,-0.000156492736222807,-0.0380744714497163,0.00821612340205836,-1.25526265585614,-0.00196566462419782,0,0
0.04,0.000679750107297189,2.08252549782628e-05,0.00038341502431774,-0.0329436006761772,-0.0191916007912038,0.00076517231493707,-0.000153553305718106,-0.0372727134079433,0.00802142142326889,-1.25527546070381,-0.00174958204371347,0,0
0.05,0.000694808200101929,1.98420239030384e-05,0.000392474687653798,-0.0337455449218746,-0.0196450832228662,0.000782296479723955,-0.000157502486295729,-0.0381756913597436,0.00820412616390017,-1.25528754116362,-0.00165543189745852,0,0
0.06,0.000694547325927033,1.80754523171345e-05,0.00039297490176876,-0.0338207658945106,-0.0196701163888831,0.000782201936859324,-0.000158067679637811,-0.0382548756383165,0.00820500910057025,-1.25529869067493,-0.00151870104336868,0,0
0.07,0.000711132049094524,1.75069490069291e-05,0.000403051055970781,-0.034678310626324,-0.0201744692504677,0.000801092968578114,-0.000162508463358817,-0.0392265047582526,0.00841877436950718,-1.2553087198651,-0.00145491059900231,0,0
0.08,0.00069348612482518,1.49546058310079e-05,0.000393557324019651,-0.0339236373698931,-0.0196992730739212,0.000781370739874283,-0.0001589658437617,-0.038361556972286,0.00820155343255051,-1.25531815562543,-0.00127786316434997,0,0
0.09,0.000691520407964405,1.35053005578811e-05,0.00039302835590702,-0.0338977743129832,-0.0196727891790397,0.000779336563905661,-0.000159079487483301,-0.0383286837938588,0.0081847257796016,-1.25532662586641,-0.00116776794554089,0,0
